"UserId","LastName","FirstName","Version","InsuranceCompany"
"User0015","Lucia","Mary","2","Allstate Insurance Co."
"User0001","Smith","John","56","Hartford Insurance Co., Inc"
"User7777","Jones","Sally","1","Hartford Insurance Co., Inc"
"User0023","Dere","John","5","Allstate Insurance Co."
"User6775","Abbott","Ted","80","Hartford Insurance Co., Inc"
"User0015","Ellis","Sal","1","Progressive Insurance Co."
"User9822","Bellto","Mike","65","Hartford Insurance Co., Inc"
"User0017","Tesla","Nico","1","Allstate Insurance Co."
"User4334","Zaro","Michelle","92","Hartford Insurance Co., Inc"
"User4388","Ribalt","Dana","2","Geico Insurance Co."
"User5446","Billinger","Tom","8","Geico Insurance Co."
"User0022","Abel","John","2","Geico Insurance Co."
"User0047","Ball","Mark","4","Allstate Insurance Co."
"User0011","Zarva","Cheryl","1","Geico Insurance Co."
"User0009","Carter","Teddy","6","Progressive Insurance Co."
"User0007","Clinton","Frieda","1","Progressive Insurance Co."
"User0002","Frog","Judy","2","Progressive Insurance Co."
"User0022","Sivantis","Tony","6","Allstate Insurance Co."
"User0001","Smith","John","58","Hartford Insurance Co., Inc"
"User0018","Selleck","Tom","8","Allstate Insurance Co."
"User9277","Sewit","Ken","1","Geico Insurance Co."
"User0008","Washington","Jack","5","Progressive Insurance Co."
